Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2024,Cunningham,Q-CM10,Queens,40.7420934,-73.766723,SM-100,0,26,0,0,0,0,0,0,2,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7420476,-73.766847,SM-89,1,21,0,0,0,0,0,0,2,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7420934,-73.766723,SM-90,0,22,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7420934,-73.766723,SM-91,1,26,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2023,Cunningham,Q-CM10,Queens,40.7424287,-73.765842,SM-006,1,30,0,0.0625,0.0625,0,1,0,2,12.77534864,0.1816,20.83,50
2023,Alley Pond,Q-CM10,Queens,40.7402928,-73.764908,SM-003,1,24,0,0.2308,0,0,0,0,2,12.77534864,0.1816,20.83,50
2023,Cunningham,Q-CM10,Queens,40.7423614,-73.765814,SM-004,1,28,0,0.0625,0.0625,0,1,0,2,12.77534864,0.1816,20.83,50
2023,Cunningham,Q-CM10,Queens,40.7423614,-73.765814,SM-005,0,38,0,0.0625,0.0625,0,1,0,2,12.77534864,0.1816,20.83,50
2024,Cunningham,Q-CM10,Queens,40.7420476,-73.766847,SM-86,1,20,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7406952,-73.764782,SM-105,1,20,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7424287,-73.765842,SM-98,0,29,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7424287,-73.765842,SM-99,1,24,0,0,0,0,1,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7403782,-73.765278,SM-94,0,22,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7406952,-73.764782,SM-95,1,24,0,0,0,0,0,0,2,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7403782,-73.765278,SM-93,0,28,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7418119,-73.766574,SM-85,1,27,0,0,0,0,1,0,2,12.77534864,0.1816,21.67,57.14
2023,Cunningham,Q-CM10,Queens,40.7420476,-73.766847,SM-009,0,25,0,0.0625,0.0625,0,0,0,2,12.77534864,0.1816,20.83,50
2024,Cunningham,Q-CM10,Queens,40.7418119,-73.766574,SM-83,1,26,0,0,0,0,0,0,2,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7417794,-73.766674,SM-84,0,24,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM10,Queens,40.7424287,-73.765842,SM-97,0,21,0,0,0,0,0,0,1,12.77534864,0.1816,21.67,57.14
2023,Cunningham,Q-CM10,Queens,40.741824,-73.766573,SM-008,1,28,0,0.0625,0.0625,0,0,0,1,12.77534864,0.1816,20.83,50
2024,Cunningham,Q-CM10,Queens,40.7423614,-73.765814,SM-96,0,25,0,0,0,0,0,0,2,12.77534864,0.1816,21.67,57.14
2024,Cunningham,Q-CM11,Queens,40.7270027,-73.772292,SM-82,1,20,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2023,Cunningham,Q-CM11,Queens,40.7274425,-73.7726,SM-010,0,15,2,0.0625,0.0625,0,0,0,1,10.16015214,0.1759,9.09,33.33
2024,Cunningham,Q-CM11,Queens,40.7277934,-73.772397,SM-79,0,20,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2024,Cunningham,Q-CM11,Queens,40.7270027,-73.772292,SM-77,0,27,0,0,0,0,1,0,1,10.16015214,0.1759,18.18,37.5
2023,Cunningham,Q-CM11,Queens,40.7269061,-73.772314,SM-011,0,15,0,0.0625,0.0625,0,0,0,1,10.16015214,0.1759,9.09,33.33
2024,Cunningham,Q-CM11,Queens,40.727399,-73.772314,SM-106,1,18,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2024,Cunningham,Q-CM11,Queens,40.7270027,-73.772292,SM-107,1,21,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2024,Cunningham,Q-CM11,Queens,40.7277934,-73.772397,SM-80,0,17,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2024,Cunningham,Q-CM11,Queens,40.7277934,-73.772397,SM-78,0,26,0,0,0,0,0,0,1,10.16015214,0.1759,18.18,37.5
2024,Cunningham,Q-CM11,Queens,40.727399,-73.772314,SM-81,0,20,0,0,0,0,1,0,2,10.16015214,0.1759,18.18,37.5
2023,Forest,Q-FT14,Queens,40.7028992,-73.850959,SM-060,0,14,0,0.125,0.0625,0,0,0,2,9.980720285,0.1421,3.89,15.56
2023,Forest,Q-FT14,Queens,40.7035651,-73.851702,SM-062,1,16,0,0.125,0.0625,0,0,0,1,9.980720285,0.1421,3.89,15.56
